,trueantecedents,trueconsequents,support,confidence,lift,leverage
375,[7648632],[7638632],0.0005128205128205128,0.75,1290.4411764705883,0.0005124231134487544
340,[6570353],[6580353],0.0005128205128205128,0.75,783.4821428571429,0.0005121659726787932
25,[556423],[7316422],0.0005128205128205128,0.75,1044.642857142857,0.0005123296077142231
62,[897171],[887171],0.0005128205128205128,0.75,1096.875,0.000512352984147856
280,[5598642],[5648642],0.0005128205128205128,0.75,1218.75,0.0005123997370151216
238,[4512521],[4462521],0.000717948717948718,0.75,812.5,0.0007170650887573965
63,[887171],[897171],0.0005128205128205128,0.75,1096.875,0.000512352984147856
291,[6062521],[6032521],0.0008205128205128205,0.7499999999999999,731.2499999999999,0.000819390751698444
425,"[3968011, 3690654]",[3898011],0.0019487179487179488,0.7402597402597403,67.66436688311688,0.0019199181824822852
376,[7693786],[7793786],0.0005811965811965812,0.7391304347826086,745.5022488755623,0.0005804169771349259
292,[6032521],[6072521],0.0007521367521367521,0.7333333333333333,691.9354838709677,0.0007510497479728249
81,[1751939],[2141939],0.0007521367521367521,0.7333333333333333,824.9999999999999,0.0007512250712250712
338,[6560353],[6580353],0.0006495726495726495,0.7307692307692307,763.3928571428571,0.000648721747388414
419,"[3524026, 3898011]",[3978011],0.0015726495726495727,0.7301587301587302,29.017857142857146,0.0015184536489151873
381,[8052644],[8042644],0.000547008547008547,0.7272727272727274,818.1818181818182,0.0005463399810066477
316,[6300353],[6340353],0.0006153846153846154,0.72,601.7142857142857,0.0006143618964131785
262,[6949904],[5189905],0.0007863247863247863,0.71875,553.2483552631579,0.0007849034991599095
394,"[1671939, 1751939]",[2141939],0.0006837606837606838,0.7142857142857143,803.5714285714286,0.0006829097815764482
333,[6520353],[6500353],0.0006837606837606838,0.7142857142857143,673.963133640553,0.0006827461465410184
320,[6410353],[6370353],0.0006837606837606838,0.7142857142857143,673.963133640553,0.0006827461465410184
24,[7316422],[556423],0.0005128205128205128,0.7142857142857142,1044.642857142857,0.0005123296077142231
293,[6072521],[6032521],0.0007521367521367521,0.7096774193548386,691.9354838709677,0.0007510497479728249
252,[4762521],[4752521],0.0005811965811965812,0.7083333333333334,828.75,0.0005804952881875958
326,[6440353],[6460353],0.0006495726495726495,0.7037037037037037,686.1111111111111,0.0006486259040105193
315,[6320353],[6300353],0.0005811965811965812,0.6799999999999999,795.5999999999999,0.0005804660676455548
318,[6320353],[6340353],0.0005811965811965812,0.6799999999999999,568.2857142857142,0.0005801738622251443
15,[7076422],[366422],0.0005811965811965812,0.6799999999999999,994.4999999999999,0.0005806121703557601
314,[6300353],[6320353],0.0005811965811965812,0.6799999999999999,795.5999999999999,0.0005804660676455548
334,[6550353],[6530353],0.0005811965811965812,0.6799999999999999,904.090909090909,0.0005805537292716779
253,[4752521],[4762521],0.0005811965811965812,0.6799999999999999,828.75,0.0005804952881875958
